"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","p5cmysb","TimeFrame","GeoVintage","Source","Location"
"State","Alabama","AL","01","=""01""","0.10","2019-2023","","Census","United States"
"State","Alaska","AK","02","=""02""","0.05","2019-2023","","Census","United States"
"State","Arizona","AZ","04","=""04""","0.10","2019-2023","","Census","United States"
"State","Arkansas","AR","05","=""05""","0.15","2019-2023","","Census","United States"
"State","California","CA","06","=""06""","0.10","2019-2023","","Census","United States"
"State","Colorado","CO","08","=""08""","0.20","2019-2023","","Census","United States"
"State","Connecticut","CT","09","=""09""","0.10","2019-2023","","Census","United States"
"State","Delaware","DE","10","=""10""","0.10","2019-2023","","Census","United States"
"State","District of Columbia","DC","11","=""11""","0.26","2019-2023","","Census","United States"
"State","Florida","FL","12","=""12""","0.10","2019-2023","","Census","United States"
"State","Georgia","GA","13","=""13""","0.15","2019-2023","","Census","United States"
"State","Hawaii","HI","15","=""15""","0.00","2019-2023","","Census","United States"
"State","Idaho","ID","16","=""16""","0.20","2019-2023","","Census","United States"
"State","Illinois","IL","17","=""17""","0.10","2019-2023","","Census","United States"
"State","Indiana","IN","18","=""18""","0.15","2019-2023","","Census","United States"
"State","Iowa","IA","19","=""19""","0.15","2019-2023","","Census","United States"
"State","Kansas","KS","20","=""20""","0.10","2019-2023","","Census","United States"
"State","Kentucky","KY","21","=""21""","0.10","2019-2023","","Census","United States"
"State","Louisiana","LA","22","=""22""","0.20","2019-2023","","Census","United States"
"State","Maine","ME","23","=""23""","0.05","2019-2023","","Census","United States"
"State","Maryland","MD","24","=""24""","0.05","2019-2023","","Census","United States"
"State","Massachusetts","MA","25","=""25""","0.15","2019-2023","","Census","United States"
"State","Michigan","MI","26","=""26""","0.05","2019-2023","","Census","United States"
"State","Minnesota","MN","27","=""27""","0.05","2019-2023","","Census","United States"
"State","Mississippi","MS","28","=""28""","0.10","2019-2023","","Census","United States"
"State","Missouri","MO","29","=""29""","0.05","2019-2023","","Census","United States"
"State","Montana","MT","30","=""30""","0.20","2019-2023","","Census","United States"
"State","Nebraska","NE","31","=""31""","0.10","2019-2023","","Census","United States"
"State","Nevada","NV","32","=""32""","0.10","2019-2023","","Census","United States"
"State","New Hampshire","NH","33","=""33""","0.05","2019-2023","","Census","United States"
"State","New Jersey","NJ","34","=""34""","0.10","2019-2023","","Census","United States"
"State","New Mexico","NM","35","=""35""","0.10","2019-2023","","Census","United States"
"State","New York","NY","36","=""36""","0.05","2019-2023","","Census","United States"
"State","North Carolina","NC","37","=""37""","0.15","2019-2023","","Census","United States"
"State","North Dakota","ND","38","=""38""","0.20","2019-2023","","Census","United States"
"State","Ohio","OH","39","=""39""","0.10","2019-2023","","Census","United States"
"State","Oklahoma","OK","40","=""40""","0.10","2019-2023","","Census","United States"
"State","Oregon","OR","41","=""41""","0.10","2019-2023","","Census","United States"
"State","Pennsylvania","PA","42","=""42""","0.10","2019-2023","","Census","United States"
"State","Rhode Island","RI","44","=""44""","0.05","2019-2023","","Census","United States"
"State","South Carolina","SC","45","=""45""","0.20","2019-2023","","Census","United States"
"State","South Dakota","SD","46","=""46""","0.15","2019-2023","","Census","United States"
"State","Tennessee","TN","47","=""47""","0.15","2019-2023","","Census","United States"
"State","Texas","TX","48","=""48""","0.20","2019-2023","","Census","United States"
"State","Utah","UT","49","=""49""","0.25","2019-2023","","Census","United States"
"State","Vermont","VT","50","=""50""","0.10","2019-2023","","Census","United States"
"State","Virginia","VA","51","=""51""","0.10","2019-2023","","Census","United States"
"State","Washington","WA","53","=""53""","0.20","2019-2023","","Census","United States"
"State","West Virginia","WV","54","=""54""","0.10","2019-2023","","Census","United States"
"State","Wisconsin","WI","55","=""55""","0.10","2019-2023","","Census","United States"
"State","Wyoming","WY","56","=""56""","0.10","2019-2023","","Census","United States"
"State","American Samoa","AS","60","=""60""","N/A","2019-2023","","Census","United States"
"State","Guam","GU","66","=""66""","N/A","2019-2023","","Census","United States"
"State","Commonwealth of the Northern Mariana Islands","MP","69","=""69""","N/A","2019-2023","","Census","United States"
"State","Puerto Rico","PR","72","=""72""","0.05","2019-2023","","Census","United States"
"State","Virgin Islands of the United States","VI","78","=""78""","N/A","2019-2023","","Census","United States"
