GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,rpopden,TimeFrame,GeoVintage,Source,Location
State,Alabama,AL,1,1,99.79,2019-2023,,Census,United States
State,Alaska,AK,2,2,1.29,2019-2023,,Census,United States
State,Arizona,AZ,4,4,63.95,2019-2023,,Census,United States
State,Arkansas,AR,5,5,58.33,2019-2023,,Census,United States
State,California,CA,6,6,251.78,2019-2023,,Census,United States
State,Colorado,CO,8,8,56.07,2019-2023,,Census,United States
State,Connecticut,CT,9,9,743.1,2019-2023,,Census,United States
State,Delaware,DE,10,10,516.22,2019-2023,,Census,United States
State,District of Columbia,DC,11,11,10994.94,2019-2023,,Census,United States
State,Florida,FL,12,12,408.71,2019-2023,,Census,United States
State,Georgia,GA,13,13,187.51,2019-2023,,Census,United States
State,Hawaii,HI,15,15,225.09,2019-2023,,Census,United States
State,Idaho,ID,16,16,22.91,2019-2023,,Census,United States
State,Illinois,IL,17,17,228.64,2019-2023,,Census,United States
State,Indiana,IN,18,18,190.13,2019-2023,,Census,United States
State,Iowa,IA,19,19,57.22,2019-2023,,Census,United States
State,Kansas,KS,20,20,35.93,2019-2023,,Census,United States
State,Kentucky,KY,21,21,114.24,2019-2023,,Census,United States
State,Louisiana,LA,22,22,106.94,2019-2023,,Census,United States
State,Maine,ME,23,23,44.66,2019-2023,,Census,United States
State,Maryland,MD,24,24,635.43,2019-2023,,Census,United States
State,Massachusetts,MA,25,25,896.35,2019-2023,,Census,United States
State,Michigan,MI,26,26,177.56,2019-2023,,Census,United States
State,Minnesota,MN,27,27,71.75,2019-2023,,Census,United States
State,Mississippi,MS,28,28,62.9,2019-2023,,Census,United States
State,Missouri,MO,29,29,89.72,2019-2023,,Census,United States
State,Montana,MT,30,30,7.59,2019-2023,,Census,United States
State,Nebraska,NE,31,31,25.59,2019-2023,,Census,United States
State,Nevada,NV,32,32,28.59,2019-2023,,Census,United States
State,New Hampshire,NH,33,33,155,2019-2023,,Census,United States
State,New Jersey,NJ,34,34,1259.98,2019-2023,,Census,United States
State,New Mexico,NM,35,35,17.43,2019-2023,,Census,United States
State,New York,NY,36,36,421.71,2019-2023,,Census,United States
State,North Carolina,NC,37,37,217.68,2019-2023,,Census,United States
State,North Dakota,ND,38,38,11.3,2019-2023,,Census,United States
State,Ohio,OH,39,39,288.31,2019-2023,,Census,United States
State,Oklahoma,OK,40,40,58.24,2019-2023,,Census,United States
State,Oregon,OR,41,41,44.15,2019-2023,,Census,United States
State,Pennsylvania,PA,42,42,290.25,2019-2023,,Census,United States
State,Rhode Island,RI,44,44,1059.47,2019-2023,,Census,United States
State,South Carolina,SC,45,45,173.39,2019-2023,,Census,United States
State,South Dakota,SD,46,46,11.86,2019-2023,,Census,United States
State,Tennessee,TN,47,47,169.43,2019-2023,,Census,United States
State,Texas,TX,48,48,113.45,2019-2023,,Census,United States
State,Utah,UT,49,49,40.33,2019-2023,,Census,United States
State,Vermont,VT,50,50,70.01,2019-2023,,Census,United States
State,Virginia,VA,51,51,219.28,2019-2023,,Census,United States
State,Washington,WA,53,53,116.48,2019-2023,,Census,United States
State,West Virginia,WV,54,54,74.23,2019-2023,,Census,United States
State,Wisconsin,WI,55,55,108.77,2019-2023,,Census,United States
State,Wyoming,WY,56,56,5.97,2019-2023,,Census,United States
State,American Samoa,AS,60,60,N/A,2019-2023,,Census,United States
State,Guam,GU,66,66,N/A,2019-2023,,Census,United States
State,Commonwealth of the Northern Mariana Islands,MP,69,69,N/A,2019-2023,,Census,United States
State,Puerto Rico,PR,72,72,950.51,2019-2023,,Census,United States
State,Virgin Islands of the United States,VI,78,78,N/A,2019-2023,,Census,United States
